key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,cacheable,defines_body,idempotent,safe
ACL,,,,3744,8.1,,,,,,True,False
BASELINE-CONTROL,,,,3253,12.6,,,,,,True,False
BIND,,,,5842,4,,,,,,True,False
CHECKIN,,,,3253,4.4,,,,,,True,False
CHECKOUT,,,,3253,4.3,,,,,,True,False
CONNECT,,,,7231,4.3.6,,,,False,False,False,False
COPY,,,,4918,9.8,,,,,,True,False
DELETE,,,,7231,4.3.5,,,,False,False,True,False
GET,,,,7231,4.3.1,,,,True,False,True,True
HEAD,,,,7231,4.3.2,,,,True,False,True,True
LABEL,,,,3253,8.2,,,,,,True,False
LINK,,,,2068,19.6.1.2,,,,,,True,False
LOCK,,,,4918,9.10,,,,,,False,False
MERGE,,,,3253,11.2,,,,,,True,False
MKACTIVITY,,,,3253,13.5,,,,,,True,False
MKCALENDAR,,,,4791,5.3.1,,,,,,True,False
MKCOL,,,,4918,9.3,,,,,,True,False
MKREDIRECTREF,,,,4437,6,,,,,,True,False
MKWORKSPACE,,,,3253,6.3,,,,,,True,False
MOVE,,,,4918,9.9,,,,,,True,False
OPTIONS,,,,7231,4.3.7,,,,False,,True,True
ORDERPATCH,,,,3648,7,,,,,,True,False
PATCH,,,,5789,2,,,,False,True,False,False
POST,,,,7231,4.3.3,,,,True,True,False,False
PRI,,,,7540,3.5,,,,,,True,True
PROPFIND,,,,4918,9.1,,,,,True,True,True
PROPPATCH,,,,4918,9.2,,,,,,True,False
PUT,,,,7231,4.3.4,,,,False,True,True,False
REBIND,,,,5842,6,,,,,,True,False
REPORT,,,,3253,3.6,,,,,,True,True
SEARCH,,,,5323,2,,,,,,True,True
TRACE,,,,7231,4.3.8,,,,False,False,True,True
UNBIND,,,,5842,5,,,,,,True,False
UNCHECKOUT,,,,3253,4.5,,,,,,True,False
UNLINK,,,,2068,19.6.1.3,,,,,,True,False
UNLOCK,,,,4918,9.11,,,,,,True,False
UPDATE,,,,3253,7.1,,,,,,True,False
UPDATEREDIRECTREF,,,,4437,7,,,,,,True,False
VERSION-CONTROL,,,,3253,3.5,,,,,,True,False
