key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,library
Apache-HttpAsyncClient,,,,,,,,,True
Apache-HttpClient,,,,,,,,,True
CFNetwork,,,,,,,,,True
CPython,,,,,,,,,True
Dalvik,,,,,,,,,True
Darwin,,,,,,,,,True
Go-http-client,,,,,,,,,True
Java,,,,,,,,,True
Linux,,,,,,,,,True
OpenSSL,,,,,,,,,True
PHP,,,,,,,,,True
PyPy,,,,,,,,,True
PycURL,,,,,,,,,True
Python-urllib,,,,,,,,,True
Ruby,,,,,,,,,True
android-async-http,,,,,,,,,True
hyper,,,,,,,,,True
libcurl,,,,,,,,,True
libidn,,,,,,,,,True
libsoup,,,,,,,,,True
libwww-perl,,,,,,,,,True
lua-http,,,,,,,,,True
nghttp2,,,,,,,,,True
okhttp,,,,,,,,,True
php-requests,,,,,,,,,True
python-requests,,,,,,,,,True
zlib,,,,,,,,,True
