key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title
about,,,,6903,2,,,
alternate,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-alternate,
appendix,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
archives,,,,,,,http://www.w3.org/TR/2011/WD-html5-20110113/links.html#rel-archives,
author,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-author,
blocked-by,,,,7725,4,,,
bookmark,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-bookmark,
canonical,,,,6596,,,,
chapter,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
collection,,,,6573,,,,
contents,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
convertedFrom,,,,7991,,,,
copyright,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
create-form,,,,6861,,,,
current,,,,5005,,,,
derivedfrom,,,,,,,,
describedby,,,,,,,http://www.w3.org/TR/powder-dr/#assoc-linking,
describes,,,,6892,,,,
disclosure,,,,6579,,,,
dns-prefetch,,,,,,,https://www.w3.org/TR/resource-hints/,
duplicate,,,,6249,,,,
edit,,,,5023,,,,
edit-form,,,,6861,,,,
edit-media,,,,5023,,,,
enclosure,,,,4287,,,,
first,,,,5988,,,,
glossary,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
help,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-help,
hosts,,,,6690,,,,
hub,,,,,,,http://pubsubhubbub.googlecode.com,
icon,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-icon,
index,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
item,,,,6573,,,,
last,,,,5988,,,,
latest-version,,,,5829,,,,
license,,,,4946,,,,
lrdd,,,,6415,,,,
memento,,,,7089,,,,
monitor,,,,5989,,,,
monitor-group,,,,5989,,,,
next,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-next,
next-archive,,,,5005,,,,
nofollow,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-nofollow,
noreferrer,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-noreferrer,
original,,,,7089,,,,
payment,,,,5988,,,,
pingback,,,,,,,http://www.hixie.ch/specs/pingback/pingback,
preconnect,,,,,,,https://www.w3.org/TR/resource-hints/,
predecessor-version,,,,5829,,,,
prefetch,,,,,,,http://www.w3.org/TR/resource-hints/,
preload,,,,,,,http://www.w3.org/TR/preload/,
prerender,,,,,,,https://www.w3.org/TR/resource-hints/,
prev,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-prev,
prev-archive,,,,5005,,,,
preview,,,,6903,3,,,
previous,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
privacy-policy,,,,6903,4,,,
profile,,,,6906,,,,
related,,,,4287,,,,
replies,,,,4685,,,,
restconf,,,,8040,,,,
search,,,,,,,http://www.opensearch.org/Specifications/OpenSearch/1.1,
section,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
self,,,,4287,,,,
service,,,,5023,,,,
start,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
stylesheet,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-stylesheet,
subsection,,,,,,,http://www.w3.org/TR/1999/REC-html401-19991224,
successor-version,,,,5829,,,,
tag,,,,,,,http://www.w3.org/TR/html5/links.html#link-type-tag,
terms-of-service,,,,6903,5,,,
timegate,,,,7089,,,,
timemap,,,,7089,,,,
type,,,,6903,6,,,
up,,,,5988,,,,
version-history,,,,5829,,,,
via,,,,4287,,,,
webmention,,,,,,,http://www.w3.org/TR/webmention/,
working-copy,,,,5829,,,,
working-copy-of,,,,5829,,,,
